edad,sexo,año,total,rango_edad
36,hombre,2005,53.839,31-42
36,hombre,2004,41.212,31-42
36,mujer,2006,44.471,31-42
36,mujer,2005,40.586,31-42
36,mujer,2004,32.296,31-42
37,hombre,2006,327.321,31-42
37,hombre,2005,331.444,31-42
37,hombre,2004,326.615,31-42
37,mujer,2006,320.167,31-42
37,mujer,2005,325.577,31-42
37,mujer,2004,320.618,31-42
37,hombre,2006,57.371,31-42
37,hombre,2005,49.128,31-42
37,hombre,2004,38.349,31-42
37,mujer,2006,43.037,31-42
37,mujer,2005,37.707,31-42
37,mujer,2004,30.306,31-42
38,hombre,2006,332.307,31-42
38,hombre,2005,327.475,31-42
38,hombre,2004,325.608,31-42
38,mujer,2006,326.519,31-42
38,mujer,2005,321.521,31-42
38,mujer,2004,321.325,31-42
38,hombre,2006,52.357,31-42
38,hombre,2005,45.148,31-42
38,hombre,2004,36.323,31-42
38,mujer,2006,40.14,31-42
38,mujer,2005,34.858,31-42
38,mujer,2004,29.39,31-42
39,hombre,2006,328.305,31-42
39,hombre,2005,326.312,31-42
39,hombre,2004,331.964,31-42
39,mujer,2006,322.443,31-42
39,mujer,2005,322.259,31-42
39,mujer,2004,328.246,31-42
39,hombre,2006,47.657,31-42
39,hombre,2005,42.657,31-42
39,hombre,2004,34.755,31-42
39,mujer,2006,36.708,31-42
39,mujer,2005,33.784,31-42
39,mujer,2004,28.252,31-42
40,hombre,2006,327.045,31-42
40,hombre,2005,332.737,31-42
40,hombre,2004,317.982,31-42
40,mujer,2006,323.175,31-42
40,mujer,2005,329.137,31-42
40,mujer,2004,313.342,31-42
40,hombre,2006,44.829,31-42
40,hombre,2005,40.769,31-42
40,hombre,2004,31.874,31-42
40,mujer,2006,35.418,31-42
40,mujer,2005,32.541,31-42
40,mujer,2004,26.763,31-42
41,hombre,2006,333.372,31-42
41,hombre,2005,318.583,31-42
41,hombre,2004,307.479,31-42
41,mujer,2006,329.97,31-42
41,mujer,2005,314.053,31-42
41,mujer,2004,305.39,31-42
41,hombre,2006,42.937,31-42
41,hombre,2005,37.292,31-42
41,hombre,2004,29.821,31-42
41,mujer,2006,34.198,31-42
41,mujer,2005,30.739,31-42
41,mujer,2004,24.85,31-42
42,hombre,2006,319.141,43-54
42,hombre,2005,307.982,43-54
42,hombre,2004,302.214,43-54
42,mujer,2006,314.745,43-54
42,mujer,2005,306.04,43-54
42,mujer,2004,301.255,43-54
42,hombre,2006,39.332,43-54
42,hombre,2005,35.079,43-54
42,hombre,2004,26.4,43-54
42,mujer,2006,32.584,43-54
42,mujer,2005,28.654,43-54
42,mujer,2004,22.554,43-54
43,hombre,2006,308.5,43-54
43,hombre,2005,302.755,43-54
43,hombre,2004,305.682,43-54
43,mujer,2006,306.713,43-54
43,mujer,2005,301.736,43-54
43,mujer,2004,305.079,43-54
