edad,sexo,año,total
41,mujer,2004,305.39
41,hombre,2006,42.937
41,hombre,2005,37.292
41,hombre,2004,29.821
41,mujer,2006,34.198
41,mujer,2005,30.739
41,mujer,2004,24.85
42,hombre,2006,319.141
42,hombre,2005,307.982
42,hombre,2004,302.214
42,mujer,2006,314.745
42,mujer,2005,306.04
42,mujer,2004,301.255
42,hombre,2006,39.332
42,hombre,2005,35.079
42,hombre,2004,26.4
42,mujer,2006,32.584
42,mujer,2005,28.654
42,mujer,2004,22.554
43,hombre,2006,308.5
43,hombre,2005,302.755
43,hombre,2004,305.682
43,mujer,2006,306.713
43,mujer,2005,301.736
43,mujer,2004,305.079
43,hombre,2006,36.855
43,hombre,2005,30.906
43,hombre,2004,26.474
43,mujer,2006,30.018
43,mujer,2005,26.223
43,mujer,2004,22.078
44,hombre,2006,303.141
44,hombre,2005,305.973
44,hombre,2004,299.05
44,mujer,2006,302.268
44,mujer,2005,305.55
44,mujer,2004,298.379
44,hombre,2006,32.564
44,hombre,2005,30.92
44,hombre,2004,23.052
44,mujer,2006,27.701
44,mujer,2005,25.414
44,mujer,2004,20.086
45,hombre,2006,306.216
45,hombre,2005,299.311
45,hombre,2004,293.616
45,mujer,2006,306.02
45,mujer,2005,298.84
45,mujer,2004,293.662
45,hombre,2006,32.432
45,hombre,2005,27.2
45,hombre,2004,21.957
45,mujer,2006,26.74
45,mujer,2005,23.335
45,mujer,2004,18.877
46,hombre,2006,299.479
46,hombre,2005,293.633
46,hombre,2004,287.764
46,mujer,2006,299.272
46,mujer,2005,294.047
46,mujer,2004,288.39
46,hombre,2006,28.602
46,hombre,2005,25.865
46,hombre,2004,19.85
46,mujer,2006,24.707
46,mujer,2005,22.082
46,mujer,2004,17.964
47,hombre,2006,293.752
47,hombre,2005,287.894
47,hombre,2004,268.731
47,mujer,2006,294.461
47,mujer,2005,288.712
47,mujer,2004,269.569
47,hombre,2006,27.072
47,hombre,2005,23.347
47,hombre,2004,18.498
47,mujer,2006,23.598
47,mujer,2005,20.818
47,mujer,2004,16.64
48,hombre,2006,287.83
48,hombre,2005,268.559
48,hombre,2004,261.619
48,mujer,2006,288.998
48,mujer,2005,269.772
48,mujer,2004,262.88
48,hombre,2006,24.405
48,hombre,2005,21.648
48,hombre,2004,16.805
48,mujer,2006,22.059
48,mujer,2005,19.488
48,mujer,2004,15.338
49,hombre,2006,268.348
49,hombre,2005,261.384
49,hombre,2004,249.713
49,mujer,2006,270.011
49,mujer,2005,263.012
49,mujer,2004,252.607
49,hombre,2006,22.759
49,hombre,2005,19.586
49,hombre,2004,15.022
49,mujer,2006,20.662
49,mujer,2005,18.026
49,mujer,2004,14.478
50,hombre,2006,261.203
50,hombre,2005,249.428
50,hombre,2004,252.902
50,mujer,2006,263.141
50,mujer,2005,252.784
50,mujer,2004,253.562
50,hombre,2006,20.465
50,hombre,2005,17.524
50,hombre,2004,13.481
50,mujer,2006,19.148
50,mujer,2005,17.026
50,mujer,2004,13.393
51,hombre,2006,249.034
51,hombre,2005,252.467
51,hombre,2004,253.291
51,mujer,2006,252.895
51,mujer,2005,253.697
51,mujer,2004,253.081
51,hombre,2006,18.469
51,hombre,2005,15.819
51,hombre,2004,12.526
51,mujer,2006,18.092
51,mujer,2005,15.801
51,mujer,2004,12.777
52,hombre,2006,251.984
52,hombre,2005,252.683
52,hombre,2004,236.103
52,mujer,2006,253.797
52,mujer,2005,253.115
52,mujer,2004,237.927
52,hombre,2006,16.708
52,hombre,2005,14.762
52,hombre,2004,10.989
52,mujer,2006,16.722
52,mujer,2005,15.153
52,mujer,2004,11.688
53,hombre,2006,252.089
53,hombre,2005,235.488
53,hombre,2004,231.791
53,mujer,2006,253.103
53,mujer,2005,237.965
53,mujer,2004,233.591
53,hombre,2006,15.563
53,hombre,2005,13.073
53,hombre,2004,10.893
53,mujer,2006,16.294
53,mujer,2005,13.838
53,mujer,2004,11.481
54,hombre,2006,234.901
54,hombre,2005,231.073
54,hombre,2004,240.413
54,mujer,2006,237.989
54,mujer,2005,233.579
54,mujer,2004,246.049
54,hombre,2006,13.89
54,hombre,2005,12.783
54,hombre,2004,9.542
54,mujer,2006,14.829
54,mujer,2005,13.753
54,mujer,2004,10.604
55,hombre,2006,230.198
55,hombre,2005,239.58
55,hombre,2004,253.048
55,mujer,2006,233.531
55,mujer,2005,245.986
55,mujer,2004,259.101
